ID	DOCULECT	CONCEPT	VALUE	TOKENS	COGIDS	BORID
1461	Beijing	I	uo²¹³	w o ²¹³	313	7
1462	Ha_erbin	I	uo²¹³	w o ²¹³	313	7
1463	Jinan	I	vɔ⁴⁵	v ɔ ⁴⁵	313	7
1464	Rongcheng	I	uɔ²¹⁴	w ɔ ²¹⁴	313	7
1465	Taiyuan	I	ɣɤ⁵³	ɣ ɤ ⁵³	313	7
1466	Xi_an	I	ŋɤ⁵³	ŋ ɤ ⁵³	313	7
1467	Chengdu	I	ŋo⁵³	ŋ o ⁵³	313	7
1468	Nanjing	I	o¹¹	o ¹¹	313	7
1469	Jixi	I	ɔ²¹³	ɔ ²¹³	313	7
1470	Suzhou	I	ŋəu²³¹	ŋ əu ²³¹	313	1
1471	Wenzhou	I	ŋ̍²⁴	ŋ̍ ²⁴	313	2
1472	Changsha	I	ŋo⁴¹	ŋ o ⁴¹	313	3
1473	Loudi	I	ŋ̍⁴²	ŋ̍ ⁴²	313	4
1474	Nanchang	I	ŋo²¹³	ŋ o ²¹³	313	5
1475	Meixian	I	ŋai¹¹	ŋ ai ¹¹	313	6
1476	Guilin	I	uo²³	w o ²³	313	7
1477	Guangzhou	I	ŋɔ²³	ŋ ɔ ²³	313	7
1478	Fuzhou	I	ŋuai³²	ŋ w ai ³²	313	7
1479	Xiamen	I	ŋua⁵³	ŋ w a ⁵³	313	7
148	Beijing	all	tɕʰyɛn³⁵ pu⁵¹	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	54 55	8
149	Ha_erbin	all	tɕʰyan²⁴ pu⁵³	tɕʰ ɥ a n ²⁴ + p u ⁵³	54 55	8
150	Jinan	all	tɕʰyæ̃⁵³ pu³¹	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	54 55	8
151	Rongcheng	all	tsʰiɐn³⁵ pur³³⁴	tsʰ j ɐ n ³⁵ + p u ³³⁴	54 55	10
152	Taiyuan	all	tɕʰye²¹ pu⁴⁵	tɕʰ ɥ e ²¹ + p u ⁴⁵	54 55	8
153	Xi_an	all	tsʰuæ̃²⁴ pu⁴⁴	tsʰ w æ̃ ²⁴ + p u ⁴⁴	54 55	8
154	Chengdu	all	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰ ɥ a n ²¹ + p u ²¹³	54 55	8
155	Nanjing	all	tɕʰyen¹³ pu⁴⁴	tɕʰ ɥ e n ¹³ + p u ⁴⁴	54 55	8
156	Jixi	all	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	54 55	8
157	Suzhou	all	ziɪ¹³ bu²³¹⁻²¹	z j ɪ ¹³ + b u ²³¹	54 55	8
158	Wenzhou	all	jy³⁴¹⁻²⁴ bu²⁴⁻²²	j y ³⁴¹ + b u ²⁴	54 55	8
159	Changsha	all	tɕʰyẽ¹³ pu¹¹	tɕʰ ɥ ẽ ¹³ + p u ¹¹	54 55	8
160	Loudi	all	dzuĩ¹³ bu¹¹	dz w ĩ ¹³ + b u ¹¹	54 55	8
161	Nanchang	all	tɕʰyon²⁴ pu⁰	tɕʰ ɥ o n ²⁴ + p u ⁰	54 55	8
162	Meixian	all	tɕʰien¹¹ pʰu⁵³	tɕʰ j e n ¹¹ + pʰ u ⁵³	54 55	8
163	Guilin	all	tɕyã²² pu²¹	tɕ ɥ ã ²² + p u ²¹	54 55	8
164	Guangzhou	all	tsʰyn²¹ pou²²	tsʰ y n ²¹ + p ou ²²	54 55	8
165	Fuzhou	all	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	56 467 58	9
166	Xiamen	all	tsuan²⁴⁻²² pɔ²²	ts w a n ²⁴ + p ɔ ²²	54 55	11
3406	Beijing	and	xɤ³⁵	x ɤ ³⁵	448	16
3407	Ha_erbin	and	xɤ²¹	x ɤ ²⁴	448	16
3408	Jinan	and	xɤ⁵³	x ɤ ⁵³	448	16
3409	Rongcheng	and	xɔ³⁵	x ɔ ³⁵	448	16
3410	Taiyuan	and	xɤ²¹	x ɤ ²¹	448	16
3411	Xi_an	and	xuo²⁴	x w o ²⁴	448	16
3412	Chengdu	and	xo²¹	x o ²¹	448	16
3413	Nanjing	and	xo¹³	x o ¹³	448	16
3414	Jixi	and	xɵ⁴⁴	x ɵ ⁴⁴	448	12
3415	Suzhou	and	taʔ⁴	t a ʔ ⁴	223	15
3416	Wenzhou	and	kʰuɔ⁵¹	kʰ w ɔ ⁵¹	650	18
3417	Changsha	and	kən³³	k ə n ³³	651	19
3418	Loudi	and	ɣo¹³	ɣ o ¹³	448	13
3419	Nanchang	and	fo⁴⁵	f o ⁴⁵	448	14
3420	Meixian	and	tʰuŋ¹¹	tʰ u ŋ ¹¹	652	20
3421	Guilin	and	kɤn⁴²	k ɤ n ⁴²	651	19
3422	Guangzhou	and	uɔ²¹	w ɔ ²¹	448	16
3423	Fuzhou	and	kɔyŋ²⁴²	k ɔy ŋ ²⁴²	625	17
3424	Xiamen	and	kaʔ³²*	k a ʔ ³²	448	16
2893	Beijing	animal	tuŋ⁵¹⁻⁵³ u⁵¹⁻³¹	t u ŋ ⁵¹ + u ⁵¹	588 179	28
2894	Ha_erbin	animal	tuŋ⁵³ u⁰	t u ŋ ⁵³ + u ⁰	588 179	28
2895	Jinan	animal	tuŋ³¹ u⁰	t u ŋ ³¹ + u ⁰	588 179	28
2896	Rongcheng	animal	toŋ³³⁴⁻³ u³³⁴	t o ŋ ³³⁴ + u ³³⁴	588 179	28
2897	Taiyuan	animal	tuŋ⁴⁵ və⁰	t u ŋ ⁴⁵ + v ə ⁰	588 179	28
2898	Xi_an	animal	tuŋ⁴⁴ vo²¹	t u ŋ ⁴⁴ + v o ²¹	588 179	28
2899	Chengdu	animal	toŋ²¹³ u²¹	t o ŋ ²¹³ + u ²¹	588 179	28
2900	Nanjing	animal	toŋ⁴⁴⁻⁴² uʔ⁵	t o ŋ ⁴⁴ + u ʔ ⁵	588 179	28
2901	Jixi	animal	tʰɑ̃²¹³⁻³¹ vɤʔ³²*	tʰ ɑ̃ ²¹³ + v ɤ ʔ ³²	588 179	28
2902	Suzhou	animal	tsoŋ⁴⁴ sã⁴⁴⁻²¹	ts o ŋ ⁴⁴ + s ã ⁴⁴	589 590	29
2903	Wenzhou	animal	doŋ²⁴ vai²²⁻²¹	d o ŋ ²⁴ + v ai ²²	588 179	21
2904	Changsha	animal	toŋ¹¹ u²⁴	t o ŋ ¹¹ + u ²⁴	588 179	22
2905	Loudi	animal	dɤn¹¹ u³⁵⁻⁵	d ɤ n ¹¹ + u ³⁵	588 179	28
2906	Nanchang	animal	tʰuŋ²¹ u⁰	tʰ u ŋ ²¹ + u ⁰	588 179	23
2907	Meixian	animal	tʰuŋ⁵³ vut⁵	tʰ u ŋ ⁵³ + v u t ⁵	588 179	28
2908	Guilin	animal	tɤn²⁵ u²²	t ɤ ŋ ²⁵ + u ²²	588 179	24
2909	Guangzhou	animal	toŋ³³ mɐt²	t o ŋ ³³ + m ɐ t ²	588 179	25
2910	Fuzhou	animal	si²¹²⁻²¹ kʰa⁵⁵ βa⁵³	s i ²¹² + kʰ a ⁵⁵ + β a ⁵³	225 279 591	27
2911	Xiamen	animal	tɔŋ²²⁻²¹ but⁵	t ɔ ŋ ²² + b u t ⁵	588 179	26
3625	Beijing	ash	xuei⁵⁵	x w ei ⁵⁵	542	32
3626	Ha_erbin	ash	xuei⁴⁴	x w ei ⁴⁴	542	32
3627	Jinan	ash	xuei²¹³	x w ei ²¹³	542	32
3628	Rongcheng	ash	xuei⁵²	x w ei ⁵²	542	32
3629	Taiyuan	ash	xuei²¹	x w ei ²¹	542	32
3630	Xi_an	ash	xuei²¹	x w ei ²¹	542	32
3631	Chengdu	ash	xuei⁴⁵	x w ei ⁴⁵	542	32
3632	Nanjing	ash	xuei³¹	x w ei ³¹	542	32
3633	Jixi	ash	fa⁵⁵	f a ⁵⁵	542	32
3634	Suzhou	ash	huᴇ⁴⁴	h w e̞ ⁴⁴	542	32
3635	Wenzhou	ash	fai⁴⁴	f ai ⁴⁴	542	32
3636	Changsha	ash	fei³³	f ei ³³	542	32
3637	Loudi	ash	xue⁴⁴	x w e ⁴⁴	542	32
3638	Nanchang	ash	fɨi⁴²	f ɨi ⁴²	542	32
3639	Meixian	ash	foi³³	f oi ³³	542	32
3640	Guilin	ash	fei⁴²	f ei ⁴²	542	32
