Word without borrowing2	Full COGID
1	1
1	1
1	1
2 1	2
2	3
2 1	2
1	1
1	1
2	3
1	1
2 1	2
6 7	4
1	1
1	1
749	5
750	6
2	3
1	1
6	7
1	1
2 1	2
9	8
9	8
9	8
9	8
9	8
9	8
9	8
10	9
9	8
9	8
9	8
11	10
9	8
9	8
9	8
9	8
12	11
13	12
9	8
9	8
14 15	13
16 14	14
14 15	13
14 15	13
14	15
14 14	16
14	15
14 15	13
14	15
14	15
14	15
18 19	17
18 19	17
18 19	17
18 19	17
18	18
18	18
19	19
18	18
18 19	17
19	19
18	18
20	20
20	20
19	19
18	18
23	21
23	21
23	21
23	21
23	21
23	21
23	21
23	21
23	21
23	21
23	21
23	21
23	21
24	22
25 26	23
27 28	24
25 29 	25
24	22
25 26	23
27 28	24
26 29	26
31 32 33	27
34 35 36	28
25 26	23
25 29	29
37	30
25 26	23
25 39	31
40 41 26	32
25 42	33
24	22
24	22
25 26	23
25 26	23
25 26	23
24	22
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
52 53	34
57	35
57	35
57	35
57	35
57	35
57	35
57	35
57	35
57	35
57	35
58	36
57	35
57	35
36	37
36	37
36	37
36	37
36	37
36	37
36	37
36	37
36	37
36	37
36	37
36	37
36	37
60	38
60	38
60	38
61	39
60	38
61	39
60	38
62	40
63	41
64	42
65	43
66	44
62	40
61	39
751	45
67	46
67	46
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
69	47
70	48
70	48
70	48
70	48
71 70	49
70	48
70	48
70	48
70	48
70	48
70 72 73	50
70	48
70	48
70 71	51
70	48
70	48
70	48
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76	52
76 77	53
76	52
82	54
82	54
82	54
82	54
82	54
82	54
82	54
82	54
82	54
82	54
82	54
82	54
83 82	55
85	56
82	54
82	54
82	54
82	54
87	57
87	57
87	57
87 88 	58
87	57
87	57
89 90	59
89	60
87	57
91 89	61
78 89	62
87	57
89 93	63
87	57
89	60
89 92	64
89	60
89	60
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
96	65
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
97	66
98	67
97	66
101	68
101	68
101	68
101	68
101	68
102	69
101	68
101	68
103	70
101	68
103	70
101	68
103	70
101	68
101	68
101	68
104	71
105	72
103	70
105	72
105	72
101	68
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
108	73
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
109	74
16	75
16	75
16	75
16	75
16	75
16	75
16	75
16	75
16	75
16	75
16	75
110 111	76
110 111	76
110 111	76
110 111	76
110 111	76
112 113 114	77
110 111	76
119 118	78
115 121	79
110 111	76
