CHARACTER	COGID	FREQUENCY
吐	1	33
嘔	2	7
嘔	1	1
發	835	1
翻	10	3
C	768	2
帶	9	2
怕	11	16
诧	12	1
唬	13	1
畏	14	1
驚	15	3
皮	16	43
肉	18	21
漂	20	15
浮	21	21
氽	22	2
平	25	19
妻	26	5
老	27	58
媳	29	2
婆	28	16
娃	33	7
屋	36	1
女	39	21
家	42	9
堂	45	2
內	47	1
厝	51	1
某	53	2
全	54	18
個	56	19
熱	59	18
燒	59	1
人	38	61
農	837	3
扔	60	8
撂	61	3
甩	62	2
摔	63	1
拋	64	1
厾	65	1
掼	68	1
C	765	1
丟	69	5
C	764	1
抾	70	1
白	71	21
背	72	18
脊	73	3
𩩍	72	1
胛	76	4
鼻	77	25
冰	83	37
凌	84	3
構	85	1
霜	87	1
脖	88	9
頸	90	11
扣	92	1
頭	79	42
脰	95	1
頷	96	1
薄	97	19
不	98	18
唔	101	1
伓	102	2
無	103	3
擦	104	13
汧	105	1
揩	106	5
挨	107	1
抹	108	3
撖	109	1
拭	110	1
草	111	19
長	112	19
C	838	1
如	113	15
打	115	56
假	118	2
若	118	1
要	122	1
倘	123	1
若	120	3
C	839	1
乳	126	5
奶	128	15
咂	129	1
妈	50	2
C	841	1
C	840	1
三	131	19
森	132	13
树	134	48
林	133	23
杀	135	18
宰	136	2
治	137	2
沙	138	23
山	139	20
烧	140	19
少	141	19
寡	142	1
舌	143	21
口	145	2
喙	147	1
蛇	148	16
长	149	3
趖	151	1
繩	153	17
索	154	8
虱	155	20
跳	156	1
湿	161	15
潮	162	2
透	163	2
濫	165	1
什	166	11
啥	168	6
甚	169	1
何	171	6
麼	167	9
麽	167	1
脉	175	1
乜	176	3
石	180	19
手	182	25
數	35	19
數	185	18
點	186	1
誰	187	9
哪	188	20
瞞	190	1
底	191	4
水	194	47
果	114	34
睡	196	17
睏	197	10
吸	198	18
裹	199	1
吮	200	2
C	843	1
㰵	201	2
欶	202	6
呼	203	13
唚	204	2
哜	205	1
說	206	12
掰	144	1
唠	208	1
擺	144	1
講	210	9
話	211	1
撕	212	15
扯	216	9
㧸	217	1
𢱋	218	1
C	760	1
拆	220	1
死	222	19
瓜	834	1
彈	224	1
四	225	20
他	226	23
渠	227	9
伊	230	5
渠	228	1
渠	229	2
𪜶	238	1
太	239	14
日	241	10
躺	244	14
眠	246	1
倒	23	8
天	247	39
聽	252	19
得	256	11
𦠿	629	1
腦	257	2
土	264	25
地	265	30
塗	266	1
啡	267	2
推	268	17
掀	269	1
逃	270	1
揎	271	1
𢫨	272	1
捵	273	1
𢱤	274	1
腿	275	16
膀	276	11
腳	277	22
骹	279	8
挖	280	17
刨	281	1
啄	282	1
𠞭	283	1
摀	284	1
玩	285	9
耍	286	5
嬉	287	3
攪	289	1
嫽	290	1
𨑨	293	1
晚	295	10
下	58	8
后	297	1
黑	296	21
夜	300	6
黃	302	20
暗	305	1
暝	307	1
尾	308	22
聞	310	13
碰	311	1
嗅	312	3
我	313	36
俺	316	2
侬	321	2
奴	322	1
㑑	323	1
五	324	20
霧	325	15
迷	326	1
幔	328	1
罩	329	1
蒙	330	1
膝	333	21
簸	337	1
