	          	 Beijing	 Ha_erbin	  Jinan	 Rongcheng	 Taiyuan	  Xi_an	 Chengdu	 Nanjing	   Jixi	 Suzhou	 Wenzhou	 Changsha	  Loudi	 Nanchang	 Meixian	 Guilin	 Guangzhou	 Fuzhou	 Xiamen	
	:---------	-------:	--------:	------:	---------:	-------:	------:	-------:	-------:	------:	------:	-------:	--------:	------:	--------:	-------:	------:	---------:	------:	------:	
	Beijing   	  100.00	         	       	          	        	       	        	        	       	       	        	         	       	         	        	       	          	       	       	
	Ha_erbin  	   94.54	   100.00	       	          	        	       	        	        	       	       	        	         	       	         	        	       	          	       	       	
	Jinan     	   97.36	    94.01	 100.00	          	        	       	        	        	       	       	        	         	       	         	        	       	          	       	       	
	Rongcheng 	   92.61	    91.37	  92.43	    100.00	        	       	        	        	       	       	        	         	       	         	        	       	          	       	       	
	Taiyuan   	   95.25	    92.25	  94.01	     89.26	  100.00	       	        	        	       	       	        	         	       	         	        	       	          	       	       	
	Xi_an     	   93.49	    90.49	  92.25	     89.26	   93.31	 100.00	        	        	       	       	        	         	       	         	        	       	          	       	       	
	Chengdu   	   85.56	    83.27	  84.33	     82.04	   85.74	  85.39	  100.00	        	       	       	        	         	       	         	        	       	          	       	       	
	Nanjing   	   95.07	    91.73	  94.19	     91.20	   92.78	  92.08	   85.56	  100.00	       	       	        	         	       	         	        	       	          	       	       	
	Jixi      	   88.38	    85.74	  88.20	     85.92	   87.50	  86.09	   81.34	   89.44	 100.00	       	        	         	       	         	        	       	          	       	       	
	Suzhou    	   83.10	    79.75	  83.63	     80.63	   82.22	  80.11	   77.46	   82.39	  81.34	 100.00	        	         	       	         	        	       	          	       	       	
	Wenzhou   	   80.63	    77.99	  80.81	     77.46	   78.70	  77.29	   74.30	   78.87	  80.28	  79.93	  100.00	         	       	         	        	       	          	       	       	
	Changsha  	   93.31	    89.96	  92.43	     88.03	   90.67	  87.85	   81.34	   90.49	  84.51	  79.93	   77.46	   100.00	       	         	        	       	          	       	       	
	Loudi     	   87.50	    85.21	  86.97	     84.33	   86.62	  84.86	   80.81	   85.04	  83.27	  81.16	   79.05	    85.74	 100.00	         	        	       	          	       	       	
	Nanchang  	   91.90	    88.56	  91.73	     86.62	   90.67	  87.50	   82.39	   90.85	  86.62	  82.04	   78.87	    88.03	  85.04	   100.00	        	       	          	       	       	
	Meixian   	   83.27	    79.93	  81.69	     79.05	   81.69	  80.28	   75.88	   80.11	  80.81	  77.99	   78.70	    80.81	  82.39	    80.11	  100.00	       	          	       	       	
	Guilin    	   90.67	    87.32	  91.20	     87.50	   88.38	  86.97	   82.22	   89.61	  86.80	  82.92	   79.40	    87.50	  85.56	    87.85	   84.15	 100.00	          	       	       	
	Guangzhou 	   94.37	    89.61	  93.13	     89.08	   90.67	  89.61	   83.45	   91.20	  86.27	  81.69	   80.63	    89.79	  85.39	    88.73	   83.63	  87.85	    100.00	       	       	
	Fuzhou    	   69.54	    66.20	  69.01	     67.43	   67.61	  67.25	   63.91	   67.43	  66.02	  66.37	   65.32	    66.02	  67.96	    66.37	   68.66	  71.13	     68.84	 100.00	       	
	Xiamen    	   73.24	    70.25	  72.71	     70.42	   70.95	  70.60	   67.96	   70.77	  71.48	  71.48	   71.83	    69.37	  72.01	    70.07	   75.53	  75.88	     72.89	  74.12	    100	
