19 191
Beijing   00000100001000100111010110000001000100000000011001000001100101000000100000010001011011100101000010001001111110001000001010000001011010000010001001101111010100000110011111010100000110000100000
Ha_erbin  00000100000100100111010110000001000100000000011001000001100101000000011000010001011011100111000010001001111110001000001000001001011011000010001001111101010100000110011111010100000110000100001
Jinan     00000100001000100111010110000001000100000000011001000001100101000000001001010000111011100101000010001001111110001000001001000001011010000010001001101111010100000110011111010100000110000100001
Rongcheng 10000100001000100111010110000001000010000000011001000001100101000000001000010010011011100011000010001001111110000000001100000011011010000010001001011111010100000110011111010100000110000100000
Taiyuan   00000100001000010111010110000001000100000000011001100001100101000000001000010001011011100101000010001001111110001000001010000001011010000010001001101101010100100110011101011100000110000100001
Xi_an     10000100000010010111010110100001000100000000011001010001100101100000100000010001011011100011000000011001111110001000001010000001011110001010101001111011010100100110011101011100000110000100001
Chengdu   01000110000011010111010110000001000001100000011001001001100110000000000000011001011111110101101110001001111100101000001000100001001010100000001001101100010101100110011100011100000100000111000
Nanjing   10000100001000110111010110000001000100000000011001001001100101000000100000010001111011100101000000011001111100101000001000010001111010000010001001101111010100100110011111010100000110000100000
Jixi      00100100000010100111010110000011000000010000011001000001100101000000001000010001101011101101000000001101111100101000001000010001110000010110001001100111000110100110011101000100000010000100000
Suzhou    01000100001000001111010110000001000000001000011000001001100100000001000000011000111011100101000010001001111100011000001000010001000000010000001001101101010100000010001100010100000100000000000
Wenzhou   00001001001000001111001101000001000000001000011001000001100100000000001000010001101011101101000010000001111101001100001010100000100000010001001001110000001100000100001000000010000001100000100
Changsha  00000100001000100111010110000001100100000100011001000001100101000000101000010001011011100101001010001001111110001010001000000101111010000010001111101111010100000111011111010101000110000000001
Loudi     00010100000010000111010110000000010000000010011000001001100101000000000100010001011011100101000010001001111110000000001100000100110010000010001001111001010100100000011101011000100010100100000
Nanchang  01000100001000110111010100010001000100100001011001001101110101001100001000110001111011100101010011001011111100101000111000000000011000010010001001101111010100001110011111110100011110110100001
Meixian   00001100110010000110110110000001000000000100010100000001110100010000000010010001011011100100001011001001111100001001001010000000100000010000001001011100110010011010011100010100000000000000000
Guilin    00000100001000000111010110000011000000100000011000000001110101000000000000010100111011100100001011001001111100101000001000010000110010000010001001011111010010001010001101011100000110000100000
Guangzhou 10000100001000100111010110000001000000100000011001000001100101000000100000010001011011100101000010001001111110001000001011000001011000010010001001101111010100000110011111010100000110000100000
Fuzhou    00000000011010010101001100001001001000000000110010000011101101000010000000010000101011100000001000101001111100000000001100010000110000000010011001010001000100000010100101000100000010001100010
Xiamen    00000000010010000111001100000101000000000000010010000001100000000000000000010000111011100100001010001001111100011000001000010000100000000000001001011000011010000010000000010100000000000100000
