	          	 Beijing	 Ha_erbin	  Jinan	 Rongcheng	 Taiyuan	  Xi_an	 Chengdu	 Nanjing	   Jixi	 Wenzhou	 Changsha	  Loudi	 Nanchang	 Meixian	 Guilin	 Guangzhou	 Fuzhou	 Xiamen	 Suzhou	
	:---------	-------:	--------:	------:	---------:	-------:	------:	-------:	-------:	------:	-------:	--------:	------:	--------:	-------:	------:	---------:	------:	------:	------:	
	Beijing   	  100.00	         	       	          	        	       	        	        	       	        	         	       	         	        	       	          	       	       	       	
	Ha_erbin  	   93.69	   100.00	       	          	        	       	        	        	       	        	         	       	         	        	       	          	       	       	       	
	Jinan     	   96.94	    93.31	 100.00	          	        	       	        	        	       	        	         	       	         	        	       	          	       	       	       	
	Rongcheng 	   88.34	    88.15	  88.72	    100.00	        	       	        	        	       	        	         	       	         	        	       	          	       	       	       	
	Taiyuan   	   90.82	    87.57	  90.06	     84.51	  100.00	       	        	        	       	        	         	       	         	        	       	          	       	       	       	
	Xi_an     	   91.59	    87.95	  90.44	     84.51	   88.91	 100.00	        	        	       	        	         	       	         	        	       	          	       	       	       	
	Chengdu   	   82.79	    81.07	  82.41	     79.16	   82.41	  82.79	  100.00	        	       	        	         	       	         	        	       	          	       	       	       	
	Nanjing   	   93.50	    90.63	  93.50	     87.19	   88.53	  90.82	   83.94	  100.00	       	        	         	       	         	        	       	          	       	       	       	
	Jixi      	   84.51	    81.64	  84.51	     80.11	   82.60	  82.22	   79.16	   84.51	 100.00	        	         	       	         	        	       	          	       	       	       	
	Wenzhou   	   77.06	    74.19	  77.44	     74.57	   74.00	  72.85	   71.32	   74.76	  79.16	  100.00	         	       	         	        	       	          	       	       	       	
	Changsha  	   86.04	    83.56	  85.28	     82.41	   84.51	  81.45	   78.01	   83.37	  82.79	   76.86	   100.00	       	         	        	       	          	       	       	       	
	Loudi     	   83.37	    80.88	  83.37	     79.35	   81.07	  81.07	   77.63	   80.69	  83.17	   79.16	    85.09	 100.00	         	        	       	          	       	       	       	
	Nanchang  	   86.81	    83.17	  86.42	     80.88	   83.37	  82.22	   78.78	   85.28	  83.94	   78.39	    84.70	  83.56	   100.00	        	       	          	       	       	       	
	Meixian   	   78.97	    76.86	  78.20	     75.72	   75.91	  75.53	   72.47	   75.53	  79.92	   77.44	    78.78	  81.07	    78.39	  100.00	       	          	       	       	       	
	Guilin    	   87.00	    83.75	  87.38	     82.60	   81.64	  83.17	   78.97	   85.47	  84.13	   76.29	    82.98	  82.60	    82.98	   81.64	 100.00	          	       	       	       	
	Guangzhou 	   91.40	    88.15	  90.63	     85.85	   85.28	  86.81	   81.45	   88.34	  84.32	   78.39	    85.85	  83.17	    86.23	   81.45	  85.66	    100.00	       	       	       	
	Fuzhou    	   64.24	    61.76	  64.24	     65.97	   63.10	  62.72	   61.19	   62.33	  65.20	   64.24	    64.44	  66.35	    64.05	   66.16	  66.54	     65.20	 100.00	       	       	
	Xiamen    	   67.69	    64.44	  67.30	     68.26	   65.77	  66.16	   65.01	   66.16	  69.02	   68.45	    67.88	  69.79	    67.50	   70.75	  72.28	     68.26	  77.06	 100.00	       	
	Suzhou    	   79.35	    76.48	  80.50	     75.72	   77.06	  75.53	   72.85	   78.97	  80.31	   80.11	    78.39	  79.16	    80.31	   76.29	  78.59	     80.31	  61.95	  66.16	    100	
