19 216
Beijing   000001000010001000111010110000001000100000000110010000011101000100000001000100101101001100001001100110110110001100100100000000010000100100011001000010010011100010000000000001000011100001000011100011000000001000101001
Ha_erbin  000001000001001000111010110000001000100000000110010000011101000011000001000100101101001100101001100110110110001100110000000011010000100100011001001010010001100010000000000001000011100001000011100011100000001100111001
Jinan     000001000010001000111010110000001000100000000110010000011101000010000001100010101101001100001001100110110110001100100000000000010000100100011001000010010001100010000000000001000011100001000011100011000000001000101001
Rongcheng 100001000000001000000010000000001000010000000110010000010100000010000001001000101100001000001001100110110000001100001000000000010000100100011000001010010000100010000000000001000011100001000011100011000000001100101001
Taiyuan   000001000010000100011010110000001000100000000110011000010001000010000001000100101101001100001001100110110110001100000100000000010000100100011001000010010001100010000000001001000010100000010001100011100000001000101001
Xi_an     100001000000100110111010111000001000100000000110010000011001000100000001000100101101001000101001000111110110001100100100000000000000100100011001001000011011100011000000001001000011100000010011100011000000001000101001
Chengdu   010001100000110100111010110000001000001100000110010100011000100000000001010100111111001110010101100110110110001010000010010000111000110100011001000110110000100010000000001001110011000000010001100011000000001000101000
Nanjing   100001000010001110111010110000001000100000000110010100011001000000000001000110101101001100001001000111110110001010100001010000011010110100011001000010010011101010000000101001000011010001000011100011001000011110101001
Jixi      001001000000100000111000110000001000000010000110010000011100000010000001000110101101100100001001010110110110001000100001000000010110000100010011000010010011101010000001101001000011110000001101000010011000011000101001
Wenzhou   000010010000000001111000100100001000000001000110010000011100000010000001000110101101000100001001100110001100001000000110000000000101000100010011000000010000110010100000010000001001000000000111000100000100001000100001
Changsha  000001000000000000110000010000001100100000000110010000011000010010000001000100101101001100001101100110110110001100000000001000010000100111111001000010110110100010010000000001000011100001000011110000100010101000101101
Loudi     000101000000100010110010110000000010000000100110000000011100000000100001000100101101001100001001100110110110001100000000001000000100000100111001001000000001100010001000001000000011100000010001000100000000101000101010
Nanchang  010001000000000100010000100010001000100100001110110111011100000010000101000110101101011101001001101110110110111000000000010000001000110100010011010010010011100010000110000101000011000001100011100101000000001001101000
Meixian   000011001100100000110110110000001000000000010101000010011100001000010001000100101101001100000101100110110101001000000000000000000100000100110010101011100000100000000000000001000011101100000011001000000000101000100101
Guilin    000001000000000000111010110000011000000100000100000010011000000000001001000010101101001100000101100110110100001000100001000000000110000100111000001010100011101000000001100001000001110000010011100010001000111000100101
Guangzhou 100001000000000000111010110000001000000100000110010000011101000000000001000100101101001100001001100110110110001100100000000100010000100100010011000010010011100010000000000001000011100001000011100011000000001000101001
Fuzhou    000000000100100110100001100001000001000000000100000000110110000000000011000001101001000000000111000110010000001000000001000000000010001100010100001000100000001110000000100011000100010010000001000011001001011000100000
Xiamen    000000000100100010100001100000100000000000000100000000011000000000000001000001101101001100000100000110010100001001000001000000000110000100010100000000100000111100000001100001000000010000000011000010001000011000100100
Suzhou    000001000000000001011010110000001000000000000110000100011100000000000001010010101101001100001001100110110110001001000001110000011010010100000011000010000001101010000000100001000001110000000011100000001000011000101001
