	          	 Beijing	 Changsha	 Chengdu	 Fuzhou	 Guangzhou	 Guilin	 Ha_erbin	 Jinan	 Jixi	 Loudi	 Meixian	 Nanchang	 Nanjing	 Rongcheng	 Suzhou	 Taiyuan	 Wenzhou	 Xi_an	 Xiamen	
	:---------	-------:	--------:	-------:	------:	---------:	------:	--------:	-----:	----:	-----:	-------:	--------:	-------:	---------:	------:	-------:	-------:	-----:	------:	
	Beijing   	    0.00	         	        	       	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Changsha  	    0.04	     0.00	        	       	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Chengdu   	    0.15	     0.16	    0.00	       	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Fuzhou    	    0.41	     0.39	    0.42	   0.00	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Guangzhou 	    0.09	     0.09	    0.18	   0.43	      0.00	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Guilin    	    0.16	     0.14	    0.22	   0.39	      0.21	   0.00	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Ha_erbin  	    0.05	     0.06	    0.15	   0.42	      0.13	   0.18	     0.00	      	     	      	        	         	        	          	       	        	        	      	       	
	Jinan     	    0.04	     0.05	    0.17	   0.42	      0.11	   0.15	     0.05	  0.00	     	      	        	         	        	          	       	        	        	      	       	
	Jixi      	    0.17	     0.16	    0.21	   0.43	      0.20	   0.19	     0.17	  0.17	 0.00	      	        	         	        	          	       	        	        	      	       	
	Loudi     	    0.21	     0.15	    0.24	   0.43	      0.24	   0.24	     0.21	  0.21	 0.23	  0.00	        	         	        	          	       	        	        	      	       	
	Meixian   	    0.27	     0.24	    0.31	   0.41	      0.26	   0.26	     0.28	  0.29	 0.28	  0.28	    0.00	         	        	          	       	        	        	      	       	
	Nanchang  	    0.08	     0.07	    0.17	   0.40	      0.13	   0.15	     0.09	  0.07	 0.15	  0.18	    0.27	     0.00	        	          	       	        	        	      	       	
	Nanjing   	    0.03	     0.04	    0.12	   0.40	      0.10	   0.13	     0.06	  0.04	 0.13	  0.20	    0.27	     0.08	    0.00	          	       	        	        	      	       	
	Rongcheng 	    0.12	     0.13	    0.21	   0.44	      0.17	   0.22	     0.11	  0.12	 0.21	  0.25	    0.34	     0.16	    0.09	      0.00	       	        	        	      	       	
	Suzhou    	    0.26	     0.23	    0.27	   0.45	      0.28	   0.28	     0.27	  0.25	 0.26	  0.27	    0.34	     0.21	    0.23	      0.29	   0.00	        	        	      	       	
	Taiyuan   	    0.04	     0.06	    0.13	   0.41	      0.11	   0.16	     0.05	  0.06	 0.17	  0.19	    0.26	     0.08	    0.06	      0.14	   0.24	    0.00	        	      	       	
	Wenzhou   	    0.29	     0.28	    0.31	   0.46	      0.30	   0.33	     0.29	  0.29	 0.28	  0.31	    0.33	     0.26	    0.28	      0.35	   0.28	    0.28	    0.00	      	       	
	Xi_an     	    0.07	     0.10	    0.14	   0.42	      0.13	   0.18	     0.09	  0.09	 0.18	  0.23	    0.28	     0.13	    0.06	      0.14	   0.28	    0.08	    0.32	   0.0	       	
	Xiamen    	    0.39	     0.39	    0.41	   0.30	      0.41	   0.38	     0.41	  0.42	 0.41	  0.43	    0.37	     0.38	    0.39	      0.47	   0.43	    0.39	    0.42	   0.4	      0	
