	          	 Beijing	 Changsha	 Chengdu	 Fuzhou	 Guangzhou	 Guilin	 Ha_erbin	  Jinan	   Jixi	  Loudi	 Meixian	 Nanchang	 Nanjing	 Rongcheng	 Suzhou	 Taiyuan	 Wenzhou	 Xi_an	 Xiamen	
	:---------	-------:	--------:	-------:	------:	---------:	------:	--------:	------:	------:	------:	-------:	--------:	-------:	---------:	------:	-------:	-------:	-----:	------:	
	Beijing   	  100.00	         	        	       	          	       	         	       	       	       	        	         	        	          	       	        	        	      	       	
	Changsha  	   96.11	   100.00	        	       	          	       	         	       	       	       	        	         	        	          	       	        	        	      	       	
	Chengdu   	   85.00	    83.89	  100.00	       	          	       	         	       	       	       	        	         	        	          	       	        	        	      	       	
	Fuzhou    	   58.89	    60.56	   57.78	 100.00	          	       	         	       	       	       	        	         	        	          	       	        	        	      	       	
	Guangzhou 	   91.11	    90.56	   81.67	  57.22	    100.00	       	         	       	       	       	        	         	        	          	       	        	        	      	       	
	Guilin    	   83.89	    86.11	   78.33	  61.11	     79.44	 100.00	         	       	       	       	        	         	        	          	       	        	        	      	       	
	Ha_erbin  	   95.00	    94.44	   85.00	  58.33	     87.22	  81.67	   100.00	       	       	       	        	         	        	          	       	        	        	      	       	
	Jinan     	   96.11	    95.00	   83.33	  58.33	     89.44	  85.00	    95.00	 100.00	       	       	        	         	        	          	       	        	        	      	       	
	Jixi      	   82.78	    83.89	   78.89	  57.22	     80.00	  80.56	    82.78	  82.78	 100.00	       	        	         	        	          	       	        	        	      	       	
	Loudi     	   78.89	    85.00	   75.56	  56.67	     76.11	  75.56	    79.44	  78.89	  76.67	 100.00	        	         	        	          	       	        	        	      	       	
	Meixian   	   72.78	    76.11	   69.44	  59.44	     74.44	  73.89	    71.67	  70.56	  71.67	  72.22	  100.00	         	        	          	       	        	        	      	       	
	Nanchang  	   92.22	    93.33	   83.33	  60.00	     87.22	  85.00	    91.11	  92.78	  85.00	  82.22	   73.33	   100.00	        	          	       	        	        	      	       	
	Nanjing   	   96.67	    95.56	   87.78	  60.00	     90.00	  87.22	    94.44	  95.56	  86.67	  80.00	   72.78	    92.22	  100.00	          	       	        	        	      	       	
	Rongcheng 	   87.78	    87.22	   78.89	  55.56	     82.78	  77.78	    89.44	  88.33	  79.44	  75.00	   66.11	    83.89	   90.56	    100.00	       	        	        	      	       	
	Suzhou    	   73.89	    77.22	   72.78	  55.00	     72.22	  72.22	    73.33	  75.00	  73.89	  72.78	   66.11	    78.89	   77.22	     70.56	 100.00	        	        	      	       	
	Taiyuan   	   96.11	    94.44	   87.22	  59.44	     88.89	  83.89	    95.00	  94.44	  82.78	  80.56	   74.44	    91.67	   94.44	     86.11	  76.11	  100.00	        	      	       	
	Wenzhou   	   70.56	    72.22	   68.89	  54.44	     70.00	  67.22	    70.56	  71.11	  72.22	  68.89	   66.67	    74.44	   71.67	     65.00	  71.67	   71.67	  100.00	      	       	
	Xi_an     	   92.78	    90.00	   86.11	  57.78	     87.22	  81.67	    91.11	  91.11	  81.67	  77.22	   72.22	    86.67	   94.44	     86.11	  72.22	   92.22	   68.33	   100	       	
	Xiamen    	   60.56	    61.11	   58.89	  70.00	     58.89	  61.67	    58.89	  58.33	  59.44	  57.22	   62.78	    61.67	   61.11	     53.33	  57.22	   60.56	   58.33	    60	    100	
