	          	 Beijing	 Changsha	 Chengdu	 Fuzhou	 Guangzhou	 Guilin	 Ha_erbin	 Jinan	 Jixi	 Loudi	 Meixian	 Nanchang	 Nanjing	 Rongcheng	 Suzhou	 Taiyuan	 Wenzhou	 Xi_an	 Xiamen	
	:---------	-------:	--------:	-------:	------:	---------:	------:	--------:	-----:	----:	-----:	-------:	--------:	-------:	---------:	------:	-------:	-------:	-----:	------:	
	Beijing   	    0.00	         	        	       	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Changsha  	    0.07	     0.00	        	       	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Chengdu   	    0.16	     0.13	    0.00	       	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Fuzhou    	    0.34	     0.28	    0.31	   0.00	          	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Guangzhou 	    0.09	     0.09	    0.16	   0.34	      0.00	       	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Guilin    	    0.14	     0.12	    0.19	   0.29	      0.17	   0.00	         	      	     	      	        	         	        	          	       	        	        	      	       	
	Ha_erbin  	    0.04	     0.08	    0.15	   0.34	      0.11	   0.16	     0.00	      	     	      	        	         	        	          	       	        	        	      	       	
	Jinan     	    0.03	     0.07	    0.16	   0.34	      0.09	   0.12	     0.04	  0.00	     	      	        	         	        	          	       	        	        	      	       	
	Jixi      	    0.14	     0.13	    0.17	   0.30	      0.15	   0.16	     0.16	  0.14	 0.00	      	        	         	        	          	       	        	        	      	       	
	Loudi     	    0.17	     0.09	    0.19	   0.31	      0.17	   0.18	     0.17	  0.16	 0.16	  0.00	        	         	        	          	       	        	        	      	       	
	Meixian   	    0.24	     0.19	    0.26	   0.29	      0.21	   0.19	     0.23	  0.24	 0.19	  0.20	    0.00	         	        	          	       	        	        	      	       	
	Nanchang  	    0.08	     0.07	    0.13	   0.29	      0.10	   0.13	     0.09	  0.07	 0.12	  0.13	    0.21	     0.00	        	          	       	        	        	      	       	
	Nanjing   	    0.04	     0.07	    0.12	   0.33	      0.10	   0.13	     0.05	  0.03	 0.12	  0.17	    0.24	     0.07	    0.00	          	       	        	        	      	       	
	Rongcheng 	    0.10	     0.11	    0.17	   0.32	      0.12	   0.18	     0.08	  0.09	 0.16	  0.18	    0.23	     0.13	    0.07	      0.00	       	        	        	      	       	
	Suzhou    	    0.22	     0.17	    0.24	   0.34	      0.21	   0.23	     0.22	  0.20	 0.19	  0.21	    0.25	     0.16	    0.18	      0.23	   0.00	        	        	      	       	
	Taiyuan   	    0.04	     0.07	    0.12	   0.32	      0.11	   0.14	     0.05	  0.04	 0.14	  0.16	    0.22	     0.08	    0.06	      0.11	   0.21	    0.00	        	      	       	
	Wenzhou   	    0.22	     0.18	    0.22	   0.29	      0.21	   0.24	     0.22	  0.21	 0.18	  0.18	    0.21	     0.17	    0.21	      0.22	   0.18	    0.20	    0.00	      	       	
	Xi_an     	    0.07	     0.10	    0.14	   0.34	      0.12	   0.17	     0.09	  0.08	 0.14	  0.18	    0.24	     0.11	    0.06	      0.12	   0.23	    0.07	    0.23	  0.00	       	
	Xiamen    	    0.33	     0.27	    0.31	   0.14	      0.33	   0.27	     0.35	  0.33	 0.28	  0.29	    0.24	     0.28	    0.32	      0.32	   0.33	    0.32	    0.28	  0.32	      0	
