	          	 Beijing	 Changsha	 Chengdu	 Fuzhou	 Guangzhou	 Guilin	 Ha_erbin	  Jinan	   Jixi	  Loudi	 Meixian	 Nanchang	 Nanjing	 Rongcheng	 Suzhou	 Taiyuan	 Wenzhou	  Xi_an	 Xiamen	
	:---------	-------:	--------:	-------:	------:	---------:	------:	--------:	------:	------:	------:	-------:	--------:	-------:	---------:	------:	-------:	-------:	------:	------:	
	Beijing   	  100.00	         	        	       	          	       	         	       	       	       	        	         	        	          	       	        	        	       	       	
	Changsha  	   93.33	   100.00	        	       	          	       	         	       	       	       	        	         	        	          	       	        	        	       	       	
	Chengdu   	   84.44	    86.67	  100.00	       	          	       	         	       	       	       	        	         	        	          	       	        	        	       	       	
	Fuzhou    	   66.11	    71.67	   68.89	 100.00	          	       	         	       	       	       	        	         	        	          	       	        	        	       	       	
	Guangzhou 	   90.56	    90.56	   84.44	  66.11	    100.00	       	         	       	       	       	        	         	        	          	       	        	        	       	       	
	Guilin    	   86.11	    87.78	   80.56	  70.56	     82.78	 100.00	         	       	       	       	        	         	        	          	       	        	        	       	       	
	Ha_erbin  	   95.56	    92.22	   85.00	  65.56	     88.89	  84.44	   100.00	       	       	       	        	         	        	          	       	        	        	       	       	
	Jinan     	   97.22	    93.33	   84.44	  66.11	     90.56	  87.78	    96.11	 100.00	       	       	        	         	        	          	       	        	        	       	       	
	Jixi      	   85.56	    87.22	   83.33	  70.00	     85.00	  84.44	    84.44	  85.56	 100.00	       	        	         	        	          	       	        	        	       	       	
	Loudi     	   83.33	    90.56	   80.56	  68.89	     82.78	  82.22	    82.78	  83.89	  84.44	 100.00	        	         	        	          	       	        	        	       	       	
	Meixian   	   76.11	    80.56	   74.44	  70.56	     79.44	  81.11	    77.22	  75.56	  80.56	  80.00	  100.00	         	        	          	       	        	        	       	       	
	Nanchang  	   92.22	    93.33	   86.67	  71.11	     90.00	  87.22	    90.56	  92.78	  88.33	  86.67	   79.44	   100.00	        	          	       	        	        	       	       	
	Nanjing   	   96.11	    92.78	   87.78	  66.67	     90.00	  87.22	    95.00	  96.67	  88.33	  83.33	   76.11	    92.78	  100.00	          	       	        	        	       	       	
	Rongcheng 	   90.00	    88.89	   82.78	  68.33	     87.78	  82.22	    92.22	  91.11	  84.44	  81.67	   76.67	    86.67	   92.78	    100.00	       	        	        	       	       	
	Suzhou    	   78.33	    83.33	   75.56	  65.56	     78.89	  77.22	    77.78	  80.00	  81.11	  79.44	   75.00	    84.44	   81.67	     76.67	 100.00	        	        	       	       	
	Taiyuan   	   95.56	    93.33	   88.33	  68.33	     89.44	  86.11	    95.00	  95.56	  86.11	  84.44	   78.33	    92.22	   94.44	     88.89	  79.44	  100.00	        	       	       	
	Wenzhou   	   78.33	    81.67	   78.33	  70.56	     79.44	  76.11	    77.78	  79.44	  82.22	  81.67	   79.44	    83.33	   78.89	     77.78	  81.67	   80.00	  100.00	       	       	
	Xi_an     	   92.78	    90.00	   85.56	  66.11	     88.33	  83.33	    91.11	  91.67	  85.56	  81.67	   75.56	    88.89	   94.44	     88.33	  76.67	   92.78	   76.67	 100.00	       	
	Xiamen    	   67.22	    72.78	   68.89	  85.56	     66.67	  73.33	    65.00	  66.67	  72.22	  70.56	   75.56	    72.22	   67.78	     67.78	  67.22	   67.78	   71.67	  67.78	    100	
