ID	DOCULECT	SUBGROUP	CONCEPT_ID	CONCEPT	CONCEPT_CHINESE	TOKENS	CHRACTERS	COGID	WENYAN
1	Beijing	Mandarin	1	vomit	嘔吐	tʰ u ⁵¹	吐	1	2
2	Ha_erbin	Mandarin	1	vomit	嘔吐	tʰ u ⁵³	吐	1	2
3	Jinan	Mandarin	1	vomit	嘔吐	tʰ u ³¹	吐	1	2
4	Rongcheng	Mandarin	1	vomit	嘔吐	ou ²¹³ + tʰ u ²¹⁴	嘔 吐	2	2 2
5	Taiyuan	Jin	1	vomit	嘔吐	tʰ u ⁵³ + l ə ⁰	吐	1	2
6	Xi_an	Mandarin	1	vomit	嘔吐	ŋ ou ²¹ + tʰ u ⁵³	嘔 吐	2	2 2
7	Chengdu	Mandarin	1	vomit	嘔吐	f a ²¹ + tʰ u ⁵³ + l o ²¹	吐	1	2
8	Chengdu	Mandarin	1	vomit	嘔吐	tʰ u ⁵³ + l o ²¹	吐	1	2
9	Chengdu	Mandarin	1	vomit	嘔吐	ŋ əu ⁵³ + l o ²¹	嘔	3	2
10	Nanjing	Mandarin	1	vomit	嘔吐	tʰ u ⁴⁴	吐	1	2
11	Nanjing	Mandarin	1	vomit	嘔吐	əɯ ¹¹ + tʰ u ⁴⁴	嘔 吐	2	2 2
12	Jixi	Hui	1	vomit	嘔吐	f ɔ ⁵⁵ + ŋ o ʔ ³²	翻 惡	4	2 2
14	Wenzhou	Wu	1	vomit	嘔吐	tʰ øy ⁵¹	吐	1	2
15	Changsha	Xiang	1	vomit	嘔吐	tʰ u ⁵⁵	吐	1	2
16	Loudi	Xiang	1	vomit	嘔吐	x w e ⁴²	C	5	2
17	Loudi	Xiang	1	vomit	嘔吐	t a ³⁵ + x w e ⁴²	C	5	2
18	Nanchang	Gan	1	vomit	嘔吐	ŋ j ɛu ²¹³	嘔	3	2
19	Nanchang	Gan	1	vomit	嘔吐	tʰ u ²¹³	吐	1	2
20	Meixian	Hakka	1	vomit	嘔吐	pʰ o n ³³	翻	6	2
21	Guilin	Pinghua	1	vomit	嘔吐	tʰ u ²⁵	吐	1	2
22	Guangzhou	Yue	1	vomit	嘔吐	ŋ ɐu ³⁵ + tʰ ou ³³	嘔 吐	2	2 2
23	Fuzhou	Min	1	vomit	嘔吐	tʰ ou ²¹²	吐	1	1
24	Xiamen	Min	1	vomit	嘔吐	tʰ o ²¹	吐	1	1
25	Beijing	Mandarin	2	fear	怕	pʰ a̠ ⁵¹	怕	7	2
26	Ha_erbin	Mandarin	2	fear	怕	pʰ a ⁵³	怕	7	2
27	Jinan	Mandarin	2	fear	怕	pʰ a ³¹	怕	7	2
28	Rongcheng	Mandarin	2	fear	怕	pʰ a ³³⁴	怕	7	2
29	Taiyuan	Jin	2	fear	怕	pʰ a ⁴⁵	怕	7	2
30	Xi_an	Mandarin	2	fear	怕	pʰ ɑ ⁴⁴	怕	7	2
31	Chengdu	Mandarin	2	fear	怕	pʰ a ²¹³	怕	7	2
32	Chengdu	Mandarin	2	fear	怕	tsʰ a ²¹³	诧	8	2
33	Nanjing	Mandarin	2	fear	怕	pʰ ɑ ⁴⁴	怕	7	2
34	Jixi	Hui	2	fear	怕	pʰ o ³⁵	怕	7	2
35	Suzhou	Wu	2	fear	怕	pʰ o ⁴¹²	怕	7	2
36	Wenzhou	Wu	2	fear	怕	h o ⁴¹	唬	9	2
37	Changsha	Xiang	2	fear	怕	pʰ a ⁵⁵	怕	7	2
38	Loudi	Xiang	2	fear	怕	pʰ ɔ ³⁵	怕	7	2
39	Nanchang	Gan	2	fear	怕	pʰ a ²¹³	怕	7	2
40	Meixian	Hakka	2	fear	怕	pʰ a ⁵³	怕	7	2
41	Meixian	Hakka	2	fear	怕	v i ⁵³	畏	10	2
42	Meixian	Hakka	2	fear	怕	k j a ŋ ⁴⁴	驚	11	2
43	Guilin	Pinghua	2	fear	怕	pʰ a̠ ²⁵	怕	7	2
44	Guangzhou	Yue	2	fear	怕	pʰ a ³³	怕	7	2
45	Fuzhou	Min	2	fear	怕	k j a ŋ ⁵⁵	驚	11	1
46	Xiamen	Min	2	fear	怕	k j ã ⁵⁵	驚	11	1
47	Beijing	Mandarin	3	skin	皮膚	pʰ i ³⁵ + f u ⁰	皮 膚	12	2 2
48	Ha_erbin	Mandarin	3	skin	皮膚	ʐ ou ⁵³ + pʰ j ə r ²⁴	肉 皮	13	2 2
49	Jinan	Mandarin	3	skin	皮膚	pʰ i ⁵³ + f u ²¹⁴	皮 膚	12	2 2
51	Taiyuan	Jin	3	skin	皮膚	pʰ i ²¹ + f u ²¹	皮 膚	12	2 2
52	Xi_an	Mandarin	3	skin	皮膚	pʰ i ²⁴	皮	14	2
53	Chengdu	Mandarin	3	skin	皮膚	pʰ i ²¹ + pʰ i ²¹	皮 皮	15	2 2
54	Chengdu	Mandarin	3	skin	皮膚	pʰ i ²¹ + ts ɿ ⁵³	皮	14	2
55	Nanjing	Mandarin	3	skin	皮膚	pʰ i ¹³ + f u ³¹	皮 膚	12	2 2
56	Jixi	Hui	3	skin	皮膚	pʰ ɿ ⁴⁴	皮	14	2
60	Loudi	Xiang	3	skin	皮膚	pʰ i ¹³	皮	14	2
62	Meixian	Hakka	3	skin	皮膚	pʰ i ¹¹	皮	14	2
66	Fuzhou	Min	3	skin	皮膚	pʰ w oi ⁵³	皮	14	1
67	Xiamen	Min	3	skin	皮膚	pʰ e ²¹	皮	14	1
68	Beijing	Mandarin	4	float	漂浮	pʰ j ɑu ⁵⁵ + f u ³⁵	漂 浮	16	2 2
69	Ha_erbin	Mandarin	4	float	漂浮	pʰ j au ⁴⁴ + f u ²⁴	漂 浮	16	2 2
70	Jinan	Mandarin	4	float	漂浮	pʰ j ɔ ²¹⁴ + f u ⁵³	漂 浮	16	2 2
71	Rongcheng	Mandarin	4	float	漂浮	pʰ j au ⁵² + f u ³⁵	漂 浮	16	2 2
72	Taiyuan	Jin	4	float	漂浮	pʰ j ɑu ²¹	漂	17	2
73	Xi_an	Mandarin	4	float	漂浮	pʰ j au ²¹	漂	17	2
74	Xi_an	Mandarin	4	float	漂浮	f u ²⁴	浮	18	2
75	Chengdu	Mandarin	4	float	漂浮	pʰ j au ⁴⁵	漂	17	2
76	Nanjing	Mandarin	4	float	漂浮	pʰ j ɔ ³¹ + f u ¹³	漂 浮	16	2 2
77	Nanjing	Mandarin	4	float	漂浮	f u ¹³	浮	18	2
78	Nanjing	Mandarin	4	float	漂浮	p j ɔ ³¹	漂	17	2
81	Suzhou	Wu	4	float	漂浮	tʰ ə n ⁵²	氽	19	2
83	Wenzhou	Wu	4	float	漂浮	t a ŋ ⁵¹	氽	19	2
85	Loudi	Xiang	4	float	漂浮	b ɤ ¹³	浮	18	2
86	Nanchang	Gan	4	float	漂浮	pʰ j ɛu ⁴²	漂	17	2
92	Fuzhou	Min	4	float	漂浮	pʰ j eu ⁵⁵ + l ɛ ³²	漂	17	1
93	Fuzhou	Min	4	float	漂浮	pʰ u ⁵³ + l ɛ ³²	浮	18	1
94	Xiamen	Min	4	float	漂浮	pʰ u ²⁴	浮	18	1
95	Beijing	Mandarin	5	smooth	平	pʰ i ŋ ³⁵	平	20	2
96	Ha_erbin	Mandarin	5	smooth	平	pʰ i ŋ ²⁴	平	20	2
97	Jinan	Mandarin	5	smooth	平	pʰ i ŋ ⁵³	平	20	2
100	Xi_an	Mandarin	5	smooth	平	pʰ i ŋ ²⁴	平	20	2
101	Chengdu	Mandarin	5	smooth	平	pʰ i n ²¹	平	20	2
102	Nanjing	Mandarin	5	smooth	平	pʰ i n ¹³	平	20	2
103	Jixi	Hui	5	smooth	平	pʰ j ɑ̃ ⁴⁴	平	20	2
105	Wenzhou	Wu	5	smooth	平	b e ŋ ³⁴¹	平	20	2
106	Changsha	Xiang	5	smooth	平	p i n ¹³	平	20	2
107	Loudi	Xiang	5	smooth	平	pʰ j ɔ̃ ¹³	平	20	2
109	Meixian	Hakka	5	smooth	平	pʰ j a ŋ ¹¹	平	20	2
110	Guilin	Pinghua	5	smooth	平	p ei ²²	平	20	2
111	Guangzhou	Yue	5	smooth	平	pʰ ɛ ŋ ²¹	平	20	2
112	Fuzhou	Min	5	smooth	平	p a ŋ ⁵³	平	20	1
113	Xiamen	Min	5	smooth	平	p ĩ ²⁴	平	20	1
148	Beijing	Mandarin	7	all	全部	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	全 部	33	2 2
149	Ha_erbin	Mandarin	7	all	全部	tɕʰ ɥ a n ²⁴ + p u ⁵³	全 部	33	2 2
150	Jinan	Mandarin	7	all	全部	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	全 部	33	2 2
152	Taiyuan	Jin	7	all	全部	tɕʰ ɥ e ²¹ + p u ⁴⁵	全 部	33	2 2
153	Xi_an	Mandarin	7	all	全部	tsʰ w æ̃ ²⁴ + p u ⁴⁴	全 部	33	2 2
154	Chengdu	Mandarin	7	all	全部	tɕʰ ɥ a n ²¹ + p u ²¹³	全 部	33	2 2
155	Nanjing	Mandarin	7	all	全部	tɕʰ ɥ e n ¹³ + p u ⁴⁴	全 部	33	2 2
156	Jixi	Hui	7	all	全部	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	全 部	33	2 2
157	Suzhou	Wu	7	all	全部	z j ɪ ¹³ + b u ²³¹	全 部	33	2 2
158	Wenzhou	Wu	7	all	全部	j y ³⁴¹ + b u ²⁴	全 部	33	2 2
159	Changsha	Xiang	7	all	全部	tɕʰ ɥ ẽ ¹³ + p u ¹¹	全 部	33	2 2
160	Loudi	Xiang	7	all	全部	dz w ĩ ¹³ + b u ¹¹	全 部	33	2 2
161	Nanchang	Gan	7	all	全部	tɕʰ ɥ o n ²⁴ + p u ⁰	全 部	33	2 2
162	Meixian	Hakka	7	all	全部	tɕʰ j e n ¹¹ + pʰ u ⁵³	全 部	33	2 2
