character	Partial COGIDS
吐	1
嘔	2
嘞	3
發	4
了	5
翻	6
惡	7
帶	8
怕	9
诧	10
唬	11
畏	12
驚	13
皮	14
膚	15
肉	16
子	17
漂	18
浮	19
氽	20
倒	21
𡅏	22
平	23
妻	24
老	25
婆	26
媳	27
婦	28
娘	29
們	30
娃	31
他	32
妈	33
屋	34
裡	35
人	36
女	37
的	38
妪	39
家	40
主	41
安	42
堂	43
客	44
內	45
當	46
小	47
媽	48
厝	49
里	50
某	51
全	52
部	53
個	54
郎	55
下	56
熱	57
燒	58
農	59
扔	60
撂	61
甩	62
摔	63
拋	64
厾	65
掼	66
丟	67
抾	68
白	69
背	70
脊	71
骶	72
身	73
𩩍	74
胛	75
鼻	76
孔	77
頭	78
公	79
哥	80
仔	81
冰	82
凌	83
構	84
棱	85
霜	86
脖	87
颈	88
頸	89
項	90
扣	91
根	92
骨	93
脰	94
頷	95
薄	96
不	97
唔	98
伓	99
無	100
擦	101
汧	102
揩	103
挨	104
抹	105
撖	106
拭	107
草	108
長	109
如	110
果	111
打	112
比	113
说	114
假	115
使	116
若	117
是	118
要	119
倘	120
系	121
还	122
乳	123
房	124
奶	125
咂	126
姑	127
三	128
森	129
林	130
树	131
杀	132
宰	133
治	134
沙	135
儿	136
山	137
烧	138
少	139
寡	140
舌	141
头	142
口	143
嫲	144
喙	145
蛇	146
长	147
虫	148
趖	149
二	150
繩	151
索	152
虱	153
跳	154
母	155
蚤	156
湿	157
潮	158
透	159
流	160
濫	161
什	162
麼	163
啥	164
甚	165
仂	166
何	167
呢	168
麽	169
哩	170
脉	171
乜	172
嘢	173
乇	174
物	175
石	176
塊	177
手	178
把	179
數	180
點	181
誰	182
哪	183
至	184
瞞	185
底	186
隻	187
水	188
睡	189
睏	190
吸	191
裹	192
吮	193
㰵	194
欶	195
呼	196
唚	197
哜	198
說	199
掰	200
唠	201
擺	202
講	203
話	204
撕	205
裂	206
烂	207
開	208
扯	209
㧸	210
𢱋	211
破	212
拆	213
攦	214
死	215
瓜	216
彈	217
四	218
渠	219
伊	220
笃	221
俫	222
㑲	223
丁	224
哋	225
儂	226
各	227
𪜶	228
太	229
陽	230
日	231
爺	232
窠	233
躺	234
起	235
眠	236
天	237
空	238
上	239
中	240
頂	241
聽	242
見	243
到	244
着	245
得	246
腦	247
𦠿	248
壳	249
那	250
髮	251
毛	252
土	253
地	254
塗	255
啡	256
推	257
掀	258
逃	259
揎	260
𢫨	261
捵	262
𢱤	263
腿	264
膀	265
腳	266
肚	267
骹	268
挖	269
刨	270
啄	271
𠞭	272
摀	273
玩	274
耍	275
嬉	276
相	277
攪	278
嫽	279
戏	280
遛	281
𨑨	282
迌	283
晚	284
黑	285
后	286
晌	287
咧	288
夜	289
向	290
黃	291
昏	292
間	293
暗	294
晡	295
暝	296
尾	297
巴	298
兒	299
聞	300
碰	301
嗅	302
我	303
俺	304
伲	305
倈	306
箇	307
侬	308
奴	309
㑑	310
五	311
霧	312
迷	313
露	314
幔	315
罩	316
蒙	317
纱	318
氣	319
膝	320
蓋	321
簸	322
盖	323
波	324
克	325
羅	326
褲	327
饅	328
胐	329
額	330
腹	331
趺	332
洗	333
汏	334
想	335
琐	336
細	337
嫩	338
细	339
笑	340
樂	341
心	342
臟	343
完	344
新	345
星	346
宿	347
雪	348
血	349
壓	350
挤	351
榨	352
牙	353
齒	354
煙	355
薰	356
盐	357
咸	358
眼	359
睛	360
窝	361
烏	362
珠	363
灵	364
目	365
咬	366
𪘬	367
嚙	368
叶	369
箬	370
一	371
蜀	372
因	373
为	374
庸	375
乎	376
游	377
泳	378
澡	379
淴	380
冷	381
浴	382
泅	383
河	384
右	385
边	386
拉	387
岸	388
面	389
片	390
大	391
正	392
鱼	393
羽	394
翼	395
雨	396
圆	397
团	398
圈	399
远	400
月	401
亮	402
明	403
光	404
云	405
彩	406
在	407
勒	408
伫	409
脏	410
