Word with borrowing2	Full COGID
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
52 53	1
54 55 	2
52 53	1
648	3
648	3
648	3
648	3
648	3
648	3
648	3
648	3
648	3
481	4
649	5
650	6
648	3
648	3
651	7
650	6
648	3
622	8
652	9
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
585 586	11
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
584 175	10
218 268 587	12
584 175	10
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533	13
533 533	14
533	13
533	13
70	15
70	15
70	15
70	15
70	15
71 70	16
70	15
70	15
70	15
70	15
70	15
70 72 73	17
70	15
70	15
70 71	18
70	15
70	15
70	15
74	19
75 71	20
664	21
664	21
664	21
664	21
664	21
664	21
664	21
664	21
664	21
665	22
664	21
252	23
664	21
666	24
664	21
664	21
664	21
667	25
664	21
664	21
668	26
572	27
668	26
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
131 14	28
373 374	29
373 374	29
375 376	30
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
373 374	29
267	31
267	31
267	31
267	31
267	31
267	31
267	31
267 14	32
267	31
267	31
267 14	32
267	31
267	31
267	31
267	31
267	31
267	31
267	31
331 25	33
331 267	34
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
391	35
743	36
743	36
744	37
743	36
744	37
743	36
744	37
744	37
744 744	38
743	36
744	37
743	36
743	36
743	36
743	36
743	36
743	36
743	36
743	36
743	36
743	36
743	36
366	39
366	39
366	39
366	39
366	39
366	39
366	39
366	39
366	39
366	39
366	39
366	39
367	40
366	39
368	41
366	39
366	39
366	39
366	39
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
285	42
362	43
362	43
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
349	44
550	45
550	45
550	45
550	45
550	45
550	45
550	45
550	45
550	45
550	45
550	45
550	45
